Mandi,Traders,Coupons,Type
"A K Rice Mills, village Bhular, Shri Mukatsar Sahib",2,91,Sheller/ Others
A M Rice Mills,4,114,Sheller/ Others
"A One rice mills,",1,5,Sheller/ Others
"A One rice mills, Behram",1,30,Sheller/ Others
A S Agro Food,2,59,Sheller/ Others
A S Agro foods,1,247,Sheller/ Others
A S Rice Mill,4,75,Sheller/ Others
"A. K. Rice mills, Bhotna",2,110,Sheller/ Others
A. N. Rice Mill,3,190,Sheller/ Others
A. R Agro mill,1,89,Sheller/ Others
A. S brar Rice mill,2,187,Sheller/ Others
A. S. J. Agroteck pvt. Ltd Klanaur,4,41,Sheller/ Others
A. V Industry,3,191,Sheller/ Others
A.J Rice Mill pvt. Ltd. Kapurthala,2,109,Sheller/ Others
A.P Rice Mills,3,86,Sheller/ Others
A.P. foods,1,81,Sheller/ Others
A.R rice and janral mills,1,84,Sheller/ Others
A.S. Rice Mill,3,104,Sheller/ Others
A.S. Rice Mill,3,104,Sheller/ Others
A.S. Rice Mills Bhucho,1,25,Sheller/ Others
Aadampur,36,1464,Main Yard
Aadhniya,7,359,Purchase Centre
Aadlu,6,313,Purchase Centre
Aahlupur,8,410,Purchase Centre
Aahrankunt,7,301,Purchase Centre
Aakad,7,394,Purchase Centre
Aakal Agro food Talwandi Sabo,2,206,Sheller/ Others
"Aakal Rice Mills, Abohar rode, Mukatsar",1,47,Sheller/ Others
Aakal Rice mill,3,119,Sheller/ Others
Aakash Rice Mills,2,126,Sheller/ Others
Aakash Rice Mills Rampura,1,71,Sheller/ Others
Aakliya,13,691,Sheller/ Others
Aalampur,23,954,Purchase Centre
Aalampur,23,954,Purchase Centre
Aalampur Mandir,7,639,Purchase Centre
Aalamwala,13,453,Purchase Centre
Aarji Far Main Mandi Nere,4,100,Sheller/ Others
Aasirwad Agro Industry,3,203,Sheller/ Others
Aasu Rice Mill,3,245,Sheller/ Others
Aasu Rice Mill,3,245,Sheller/ Others
Aatma rice and Flor mill,3,249,Sheller/ Others
Abdulapur,7,603,Purchase Centre
Abhi Agro mill,1,119,Sheller/ Others
Abhi Rice Mill 1,1,70,Sheller/ Others
Abhi Rice Mill 2,1,70,Sheller/ Others
Abhishek Rice Mill,2,66,Sheller/ Others
Abhun,15,586,Purchase Centre
Abiana,7,718,Sub Yard
Ablu,13,503,Purchase Centre
Abohar,64,14572,Main Yard
Abraham val,16,613,Sub Yard
Abrol Rice mill,2,173,Sheller/ Others
Abul Khurana,11,509,Purchase Centre
Achal,4,354,Purchase Centre
Achanak,6,421,Purchase Centre
Adampura,7,589,Purchase Centre
Agarwal Agro Ind.,1,86,Sheller/ Others
"Agarwal Agro Industries, Pind Koleyawali, Malout",11,75,Sheller/ Others
Agarwal Agro foods,1,94,Sheller/ Others
Agarwal Rice Mill,11,588,Sheller/ Others
Agarwal Rice Mill,11,588,Sheller/ Others
Agarwal Rice Mill,11,588,Sheller/ Others
Agarwal Rice Mill,11,588,Sheller/ Others
Agarwal Rice Mill,11,588,Sheller/ Others
Agarwal Rice Mill,11,588,Sheller/ Others
Agarwal Rice Mill,11,588,Sheller/ Others
Agarwal Rice Mill,11,588,Sheller/ Others
Agarwal Rice Mill Dharamkot,2,16,Sheller/ Others
"Agarwal Rice Mill, Goniana",1,185,Sheller/ Others
Agarwal Rice and janral mill Raman,1,400,Sheller/ Others
"Agarwal cotton Factory, Bariwala",1,91,Sheller/ Others
Agarwal rice and general mill,5,220,Sheller/ Others
Agol,2,475,Sub Yard
Aham Rice Mill,1,63,Sheller/ Others
Ahmedgarh,60,3265,Main Yard
Ahmedpur,13,730,Purchase Centre
Aimamangat,7,346,Purchase Centre
Ajauli,3,196,Purchase Centre
Ajay rice and agro products,1,89,Sheller/ Others
Ajit Rice mill,1,66,Sheller/ Others
Ajitwal,25,1619,Main Yard
Ajmer singh katan and janral mills Kotakpura,3,630,Sheller/ Others
Ajnala,82,3336,Main Yard
Ajror,6,291,Purchase Centre
Akadwas,1,105,Purchase Centre
"Akal Rice and General Mills, Bhagta",2,95,Sheller/ Others
Akalgarh,9,536,Purchase Centre
Akash Rice Mill,1,35,Sheller/ Others
Akash Rice Mill,1,35,Sheller/ Others
Akbarpur,16,560,Purchase Centre
Akhada,7,416,Purchase Centre
Akkawali,8,719,Purchase Centre
Aklia kalan,3,380,Purchase Centre
Aklian,12,914,Purchase Centre
Aksit Rice Mills,1,5,Sheller/ Others
Alampur Bukka,4,291,Sub Yard
Alawalpur,16,800,Purchase Centre
Algo,55,1305,Sub Yard
Alianangal,11,675,Purchase Centre
Aliser kalan,9,345,Purchase Centre
Aliwal,8,1356,Purchase Centre
Allike,2,211,Purchase Centre
Amamnagar,8,691,Purchase Centre
Aman Foods,1,46,Sheller/ Others
Aman Rice mill,2,158,Sheller/ Others
Amandeep Rice Mills,2,185,Sheller/ Others
Amar Rice Mill,3,218,Sheller/ Others
Amar Rice Mill,3,218,Sheller/ Others
AmarNath foods,2,86,Sheller/ Others
Amargarh,46,2473,Main Yard
Amarkot,121,2410,Sub Yard
Amba Rice and General mills Goniana,1,116,Sheller/ Others
"Ambe Agro Industries, Butter Bakhua",2,115,Sheller/ Others
"Ambe Agro foods, Bhaini Jassa",2,90,Sheller/ Others
"Ambe Mega foods, Moga Deviwala rode Kotakpura",2,263,Sheller/ Others
Ambe Rice Mill,3,248,Sheller/ Others
Ambe Rice Mill,3,248,Sheller/ Others
"Ambe Rice Mills, Pind Koleyawali, Malout",4,40,Sheller/ Others
Ambe rice and janral mill,1,105,Sheller/ Others
Ambe rice mill Loha Khera,1,22,Sheller/ Others
Ambika Agro foods,1,94,Sheller/ Others
Ambika Rice Mill,1,184,Sheller/ Others
Ambika Rice Mill,1,184,Sheller/ Others
Ambika Rice mill,2,120,Sheller/ Others
Ambika Rice mill 2,1,70,Sheller/ Others
AmirShahwala,8,361,Purchase Centre
Amla Singh Wala,10,363,Purchase Centre
Amlala,2,244,Purchase Centre
Amloh,75,3488,Main Yard
Amrit Rice Mills,3,67,Sheller/ Others
Amrit Rice mill,2,145,Sheller/ Others
"Amrit rice mill, Husnar",2,117,Sheller/ Others
Anand palace (Palace),2,41,Sheller/ Others
Andana,18,881,Purchase Centre
Anil Narula Rice mill,1,177,Sheller/ Others
"Anjani Mata Rice mills, Mehlkalan",5,118,Sheller/ Others
Anku Rice Mills Rampura,1,57,Sheller/ Others
Anmol Rice Mill,2,104,Sheller/ Others
Anmol Rice Mill,2,104,Sheller/ Others
Annapurna rice and janral mills unit 1,1,196,Sheller/ Others
Annapurna rice and janral mills unit 2,1,111,Sheller/ Others
Annpurna Rice Mill,3,221,Sheller/ Others
Annpurna Rice Mill,3,221,Sheller/ Others
"Anpurna Agro Industries, Pind Malout road, Burj Sidhwa",15,81,Sheller/ Others
Anpurna Rice Mili,5,135,Sheller/ Others
Anupgarh,4,287,Purchase Centre
Appara,24,1782,Sub Yard
Arayian wala,7,578,Purchase Centre
Arfke,32,537,Sub Yard
Arihant Gas,3,48,Sheller/ Others
Arihant Rice Mills,1,76,Sheller/ Others
Arihant Rice Mills Raman,1,136,Sheller/ Others
Arjun rice Mills,1,115,Sheller/ Others
"Arjun rice Mills, Tajoke rode, tapa",3,148,Sheller/ Others
"Arman oversies, Balmgarh rode, Shri Mukatsar Sahib",1,93,Sheller/ Others
Arno,11,842,Sub Yard
Arora Rice Mill,1,20,Sheller/ Others
Arora Rice mill,5,210,Sheller/ Others
Arora rice and janral mill,2,92,Sheller/ Others
Arun Foods,1,9,Sheller/ Others
Arya Industries,1,10,Sheller/ Others
Arya Rice Mill,2,124,Sheller/ Others
"Aryan Rice Mill, Kabarwala rode, Shri Mukatsar Sahib",1,113,Sheller/ Others
Asa Butter,13,796,Sub Yard
Asa Butter,13,796,Sub Yard
Asarpur,5,459,Purchase Centre
Ashirwad Rice mills,1,174,Sheller/ Others
Ashoka Rice Mill,2,95,Sheller/ Others
Ashoka Rice mills,3,199,Sheller/ Others
"Ashoka rice and genral mill, Banur",5,205,Sheller/ Others
Ashwani trading company(factory),1,41,Sheller/ Others
Asis agro tech,2,90,Sheller/ Others
Aspal Khurd,12,537,Purchase Centre
Aspal kalan,11,363,Purchase Centre
Atapar Rice mill,1,161,Sheller/ Others
Atari,60,3601,Main Yard
Atla Kalan,11,395,Purchase Centre
Atlan Khurd,9,304,Purchase Centre
Atma Rice Mill,1,24,Sheller/ Others
Aujla Rice Mill,4,133,Sheller/ Others
Aujla rice and janral mill,1,29,Sheller/ Others
Aulakh,36,1180,Purchase Centre
Aulakh,36,1180,Purchase Centre
Aulakh,36,1180,Purchase Centre
Avan,56,3049,Purchase Centre
Avan,56,3049,Purchase Centre
Avergreen Rice mill,1,73,Sheller/ Others
"Avtar cotton and General mill, Bariwala road Varing",2,68,Sheller/ Others
Avtar singh and sons,1,20,Sheller/ Others
Awan Agro,2,245,Sheller/ Others
Ayali Khurd,7,462,Sub Yard
B D Rice Mills,2,268,Sheller/ Others
"B M Agro Industries, Fatehgarh Panjtoor",1,10,Sheller/ Others
B S Rice Mill,3,275,Sheller/ Others
B S Rice Mills,3,81,Sheller/ Others
"B S Rice and General mills, Pind koleyawali Malout",7,40,Sheller/ Others
B S agro industries,1,15,Sheller/ Others
"B. A. Rice mills, Bakhtgarh",1,125,Sheller/ Others
B. D. Rice Mill,1,79,Sheller/ Others
B. G.Rice mill,3,85,Sheller/ Others
"B. H. Rice mill, Barnala",1,65,Sheller/ Others
B. K. M India pvt. Ltd,3,45,Sheller/ Others
"B. M. Rice mills, Mehalkalan",3,218,Sheller/ Others
B. S Rice and General Mill,2,149,Sheller/ Others
B. S. Agro,2,148,Sheller/ Others
B. S. rice traders,3,75,Sheller/ Others
B.G.G. D Rice Mill,1,45,Sheller/ Others
B.L. Rice Mill,2,172,Sheller/ Others
B.R. Rice Mill,1,79,Sheller/ Others
B.S. Rice Mill,1,56,Sheller/ Others
B.S. food products,1,47,Sheller/ Others
"Baba Balia ji Rice mill, Sangat",1,71,Sheller/ Others
Baba Bhai Behlo Rice Mill,1,191,Sheller/ Others
Baba Bhuman Shah ji Industry,1,177,Sheller/ Others
Baba Bhuman Shah ji Rice mill,2,172,Sheller/ Others
Baba Farid Agro food,2,10,Sheller/ Others
Baba Farid rice Industry,2,35,Sheller/ Others
"Baba Farid rice mills, Mallan",2,74,Sheller/ Others
Baba Kalu nath Rice mill,1,20,Sheller/ Others
Baba Lakhmir Das Rice Mill,2,50,Sheller/ Others
Baba Malla Ji Rice Mill,2,186,Sheller/ Others
"Baba Meera Sahib rice mills, Bariwala Road, Varing",3,98,Sheller/ Others
Baba Moni ji Rice Mill,2,120,Sheller/ Others
Baba Sukhanand Rice Mills,1,158,Sheller/ Others
Baba ji Rice Mill,1,72,Sheller/ Others
Babarpur,6,236,Purchase Centre
Babiha,6,386,Purchase Centre
BabihaBhai,8,457,Purchase Centre
Babu Ram Rice Mill,1,93,Sheller/ Others
Bachhoana,18,1161,Sub Yard
Bachi wid,6,581,Purchase Centre
Badal,18,827,Purchase Centre
Badalgarh,8,459,Purchase Centre
Badaliala Singh,6,395,Purchase Centre
Badayala,6,601,Sub Yard
Badhai,18,793,Sub Yard
Badhni Gulab Singh,6,380,Purchase Centre
Badhni Kalan,59,2678,Main Yard
Badian kalan,7,301,Purchase Centre
Badra,8,391,Purchase Centre
Badri Vishal Rice Mill,3,164,Sheller/ Others
Badshahpur,21,1259,Sub Yard
Badwala,6,332,Purchase Centre
Bagga Khurd,2,365,Sub Yard
Bagge ke Pipal,17,318,Purchase Centre
Baghapurana,112,3013,Main Yard
Baghele Wala,8,338,Purchase Centre
Baghraul,11,336,Purchase Centre
Bagovani kunjar,8,397,Sub Yard
Bagowal,37,1632,Sub Yard
Bagriyan,13,715,Purchase Centre
Bahadur nagar,21,576,Purchase Centre
BahadurKheda,18,1479,Purchase Centre
Bahadurgarh,18,1233,Purchase Centre
Bahadurgarh,18,1233,Purchase Centre
Bahadurpur Rajoya,15,1271,Purchase Centre
Baharwali,6,288,Purchase Centre
Bahav Wala,19,1429,Purchase Centre
Bahawalvasi,2,20,Purchase Centre
Bahghela,18,547,Purchase Centre
"Bahia  rice Mills, Jodhpur",1,78,Sheller/ Others
"Bahia Rice mill, Bhucho",1,125,Sheller/ Others
Bahlur Kalan,8,342,Sub Yard
Bahona,12,706,Purchase Centre
Bahoyatri,8,392,Purchase Centre
Bajachak,5,485,Sub Yard
Bajakhana,10,671,Sub Yard
Bajar,10,702,Purchase Centre
Bajewala,15,945,Purchase Centre
Bajidpur,5,467,Purchase Centre
Bajoke,8,621,Purchase Centre
"Bajrang Agro Foods, Jalalabad road, Shri Mukatsar Sahib",3,125,Sheller/ Others
Bajrang Rice and General Mill,1,104,Sheller/ Others
Bajrang Rice and General Mill,1,104,Sheller/ Others
"Bajrang Rice mills, Butar Bakhua",2,103,Sheller/ Others
BajuhaKhurd,7,461,Purchase Centre
Bajwa agro Ind,2,145,Sheller/ Others
Bakhatgarh,7,371,Purchase Centre
Bakhoran Kalan,9,397,Purchase Centre
Bakhshiwal / Bhikhariwal,20,615,Sub Yard
Bakhshiwala,4,321,Purchase Centre
"Bakhsi Ram Kasturi lal and company, Pind Koleyawali, Malout",4,40,Sheller/ Others
Bakhsiwala,13,1041,Purchase Centre
Bakraha,13,787,Purchase Centre
BalKhandi,15,684,Purchase Centre
Bala Rice Mills Ghuman kalan,1,62,Sheller/ Others
Bala ji Rice Mill,2,53,Sheller/ Others
Bala ji Rice Mill,2,53,Sheller/ Others
Bala ji Rice Mill,2,53,Sheller/ Others
Bala ji Rice Mills,1,210,Sheller/ Others
Bala ji foods,1,45,Sheller/ Others
Balachaur,26,2496,Main Yard
Balahad mehama,8,426,Purchase Centre
"Balaji Rice mill, Khokhar road, Aasa Butter",5,171,Sheller/ Others
Balamgarh,8,294,Purchase Centre
Balbera,40,796,Purchase Centre
Balbera Chawal Gram Udyog Samti,1,149,Sheller/ Others
Baldev Rice Mill,2,69,Sheller/ Others
Balia Rice Mill,1,5,Sheller/ Others
Baliawali,9,681,Sub Yard
Balinga,21,1598,Main Yard
Baliyan,18,1094,Purchase Centre
Baliyan,18,1094,Purchase Centre
Ballo,7,482,Purchase Centre
Ballran,20,700,Purchase Centre
Balluana,8,763,Sub Yard
Baloke,4,231,Purchase Centre
Baluana,5,578,Purchase Centre
Bam,8,484,Purchase Centre
Bamb Bandala no,10,492,Purchase Centre
Bamiyal,14,876,Sub Yard
BanBhora,6,354,Purchase Centre
Banawala,26,1367,Purchase Centre
Bandala,14,698,Purchase Centre
Bandi,10,805,Purchase Centre
Bandiwala,18,766,Purchase Centre
Banera,7,574,Purchase Centre
Banga,43,3065,Main Yard
Bangi Kalan,13,948,Purchase Centre
Bangi Rughu,8,279,Purchase Centre
Banke Bihari Mayisar Khana,2,74,Sheller/ Others
Banke Bihari Rice Mill,5,245,Sheller/ Others
Banke Bihari Rice Mill,5,245,Sheller/ Others
Banke Bihari Rice Mill,5,245,Sheller/ Others
Banke Bihari Rice Mills,1,83,Sheller/ Others
Bans Agro mill,2,113,Sheller/ Others
Bans Rice mill,1,158,Sheller/ Others
Bansal Agro Products,1,15,Sheller/ Others
Bansal Rice Mill,3,220,Sheller/ Others
Bansal Rice Mill,3,220,Sheller/ Others
Bansal Rice Mill,3,220,Sheller/ Others
Bansal Rice mill,5,242,Sheller/ Others
"Bansal Rice mill, Bariwala Road, Varing",2,93,Sheller/ Others
"Bansal Rice mills, Sekha",2,650,Sheller/ Others
Bansal agro mill,1,102,Sheller/ Others
Bansal agro pvt. Ltd.,1,105,Sheller/ Others
Bansal rice and janral,1,103,Sheller/ Others
Bansal rice and janral mill,2,15,Sheller/ Others
"Bansal rice mills, Butar Bakhua",1,145,Sheller/ Others
"Bant Rice mills, Barnala",3,195,Sheller/ Others
Banur,32,1665,Main Yard
Banwala,6,500,Purchase Centre
Banwala Hanwanta,12,376,Purchase Centre
Bappiana,5,337,Purchase Centre
Bappiana Rice Mill,2,125,Sheller/ Others
Barahma Rice mill,8,411,Sheller/ Others
Bardar,6,490,Purchase Centre
Bare,9,976,Sub Yard
Bareke,14,887,Purchase Centre
Bareta,80,2685,Main Yard
Bargadi,12,599,Sub Yard
Bari,5,295,Sub Yard
Bariar,7,364,Purchase Centre
Bariwala,22,867,Main Yard
"Bariwala Agro Indus., Sarayenaga road, Marar kalan",1,119,Sheller/ Others
Barkha Ram Bhagwan Das,1,5,Sheller/ Others
Barmi,13,520,Purchase Centre
Barnala,159,6025,Purchase Centre
Barnala,159,6025,Main Yard
Barsal,6,377,Purchase Centre
Barudi,14,585,Sub Yard
Barwali,8,489,Sub Yard
Basant Lal Ashok Kumar,3,104,Sheller/ Others
Basant rice mill,1,64,Sheller/ Others
Basantpura,8,466,Purchase Centre
Basehra,11,756,Purchase Centre
Basi Gujran,2,397,Purchase Centre
Basi Pathana,38,2060,Main Yard
Basia,8,574,Purchase Centre
Basiark,6,442,Purchase Centre
Basinandi,9,327,Purchase Centre
Basrke,37,948,Sub Yard
Basrke  Gilan,8,697,Purchase Centre
Basrukhan,11,721,Purchase Centre
Batala,313,10417,Main Yard
Bath,5,439,Purchase Centre
Bathan,10,403,Purchase Centre
Batriana,9,579,Purchase Centre
Beant Rice Mill,1,139,Sheller/ Others
Beed Chehal,6,499,Purchase Centre
Beehla,5,275,Purchase Centre
Beema Shanker Rice Mill,1,72,Sheller/ Others
Beghawali,18,745,Purchase Centre
Behak Gujjran,12,756,Purchase Centre
Behak Pachhadian,3,354,Purchase Centre
BehbalManjh,9,591,Purchase Centre
Behbil Khurd,7,364,Purchase Centre
Behman Deewana,10,329,Purchase Centre
Behman Jassa Singh,7,599,Purchase Centre
Behniwal,21,873,Sub Yard
Behram,20,1354,Purchase Centre
Behrampur,11,1082,Purchase Centre
Behwal kalan,10,445,Purchase Centre
Bekan,18,667,Purchase Centre
Bella,20,1454,Sub Yard
Benra,7,262,Purchase Centre
"Bens Rice Mill, Kalewal",2,324,Sheller/ Others
Bens Rice Mills,1,54,Sheller/ Others
Best Agro products,7,153,Sheller/ Others
"Best Rice mill, Bhucho",1,100,Sheller/ Others
Bhadhour,35,1871,Main Yard
Bhadra,9,597,Purchase Centre
Bhadson,41,2432,Main Yard
BhagThala kalan,8,824,Purchase Centre
"Bhagat Singh Rice Mills,",1,180,Sheller/ Others
"Bhagat Singh Rice Mills, Husanur",3,162,Sheller/ Others
Bhagatpura,6,387,Purchase Centre
Bhagibander,7,804,Purchase Centre
Bhagike,5,403,Purchase Centre
