Sr. No.,District Name,Market Committee Name,Purchase Center Name,Storage Capacity in quintals,Type Name,Storage Capacity in tons,active_days,mean_cpns_pd,std
1,Amritsar,Rayya,Butala,79875.0,Sub Yard,7987.5,36.0,33.22222222222222,35.236434967322516
2,Amritsar,Ajnala,Sudhar,82125.0,Sub Yard,8212.5,42.0,44.833333333333336,22.810905251085142
3,Amritsar,Ajnala,Chak dogra,36000.0,Sub Yard,3600.0,41.0,14.024390243902438,3.8502454783951676
4,Amritsar,Majeetha,Pakharpur,83250.0,Sub Yard,8325.0,38.0,44.3421052631579,35.843712039148194
5,Amritsar,Mehta,Tahli sahib,63000.0,Sub Yard,6300.0,28.0,22.392857142857142,8.786940164830842
6,Amritsar,Atari,Sarai amanat khan,36000.0,Sub Yard,3600.0,36.0,20.666666666666668,13.589912225092341
7,Amritsar,Atari,Khasa,130500.0,Sub Yard,13050.0,25.0,39.68,17.50409475903662
8,Amritsar,Chogava,Harsachhina,124875.0,Sub Yard,12487.5,39.0,66.15384615384616,44.91602601202104
9,Amritsar,Chogava,Rajasansi,63000.0,Sub Yard,6300.0,38.0,41.86842105263158,26.753298410063813
10,Amritsar,Gehri,Tarsika,176625.0,Sub Yard,17662.5,37.0,34.891891891891895,23.57468484976556
11,Amritsar,Amritsar,Chheharta mandi,130500.0,Sub Yard,13050.0,27.0,31.48148148148148,10.902964912107343
12,Amritsar,Amritsar,Verka,163125.0,Sub Yard,16312.5,,,
13,Bathinda,Talwandi Sabo,Sego,118020.0,Sub Yard,11802.0,30.0,24.033333333333335,14.737901720612632
14,Bathinda,Talwandi Sabo,Sheikhpura,118020.0,Sub Yard,11802.0,30.0,22.6,13.0267629027375
15,Bathinda,Talwandi Sabo,Coatfata,162868.0,Sub Yard,16286.8,36.0,42.111111111111114,16.826471963253574
16,Bathinda,Maud,Rajgarh kube,137690.0,Sub Yard,13769.0,29.0,23.79310344827586,16.661288130498423
17,Bathinda,Bhargta Bhaika,Kothaguruka,103155.0,Sub Yard,10315.5,34.0,19.0,11.51810169544733
18,Bathinda,Bhargta Bhaika,Jalal,162081.0,Sub Yard,16208.1,33.0,28.060606060606062,20.133832524415517
19,Bathinda,Bhargta Bhaika,Maluka,93629.0,Sub Yard,9362.9,33.0,21.03030303030303,10.339502068779861
20,Bathinda,Goniana,Mahama sarja,102678.0,Sub Yard,10267.8,33.0,22.09090909090909,12.400513185861593
21,Bathinda,Bhucho,Chakk fateh singh wala,135000.0,Sub Yard,13500.0,25.0,43.2,17.19253714067046
22,Bathinda,Rampuraphool,Chauke,110546.0,Sub Yard,11054.6,27.0,31.77777777777778,13.540064007726603
23,Bathinda,Rampuraphool,Dhade,101498.0,Sub Yard,10149.8,37.0,32.0,21.21974971053565
24,Bathinda,Rampuraphool,Dhapali,73125.0,Sub Yard,7312.5,27.0,20.40740740740741,8.85463485438888
25,Bathinda,Rampuraphool,Badayala,107792.0,Sub Yard,10779.2,27.0,22.25925925925926,13.331837522933279
26,Bathinda,Rampuraphool,Baliawali,104625.0,Sub Yard,10462.5,27.0,25.22222222222222,11.965763125663452
27,Bathinda,Rampuraphool,Bhairupa,236250.0,Sub Yard,23625.0,26.0,47.84615384615385,25.43964199070782
28,Bathinda,Rampuraphool,Maharaj,256500.0,Sub Yard,25650.0,27.0,41.7037037037037,31.388158980999897
29,Bathinda,Rampuraphool,Mandi kalan,141624.0,Sub Yard,14162.4,28.0,32.17857142857143,14.41720569686859
30,Bathinda,Bathinda,Tiona,102274.0,Sub Yard,10227.4,34.0,26.0,12.898202834644692
31,Bathinda,Bathinda,Balluana,78680.0,Sub Yard,7868.0,34.0,22.441176470588236,9.547937033950216
32,Bathinda,Rama,Malkana,108750.0,Sub Yard,10875.0,43.0,23.74418604651163,14.750452815092721
33,Bathinda,Sangat,Ghudda,118020.0,Sub Yard,11802.0,32.0,28.125,14.43059026803377
34,Bathinda,Sangat,Pakka kalan,177031.0,Sub Yard,17703.1,34.0,45.76470588235294,28.5732008617626
35,Bathinda,Nathana,Kaliyaan,163655.0,Sub Yard,16365.5,35.0,37.885714285714286,17.980007571436325
36,Barnala,Bhadour,Sehna,271125.0,Sub Yard,27112.5,28.0,61.607142857142854,27.94616423121597
37,Barnala,Dhanola,Kaleke,195750.0,Sub Yard,19575.0,38.0,56.0,55.22582631244092
38,Barnala,Mehal kalan,Kutba,149625.0,Sub Yard,14962.5,20.0,31.65,18.6103395144233
39,Barnala,Mehal kalan,Channanwal,245250.0,Sub Yard,24525.0,11.0,59.81818181818182,34.38551492072842
40,Barnala,Mehal kalan,Thuliwal,131625.0,Sub Yard,13162.5,17.0,28.176470588235293,16.816046258401705
41,Faridkot,Faridkot,Machaki kalan,90000.0,Sub Yard,9000.0,27.0,30.14814814814815,10.298258641835087
42,Faridkot,kotkpura,Sarawa,115875.0,Sub Yard,11587.5,26.0,30.26923076923077,17.023648709504535
43,Faridkot,kotkpura,Hari no,136125.0,Sub Yard,13612.5,25.0,37.48,18.918949935624514
44,Faridkot,kotkpura,Coatsukhian,117000.0,Sub Yard,11700.0,25.0,39.88,13.675769326318234
45,Faridkot,kotkpura,Panjgraikalan,106875.0,Sub Yard,10687.5,25.0,34.2,12.379418403139946
46,Faridkot,kotkpura,Bargadi,49500.0,Sub Yard,4950.0,26.0,23.03846153846154,9.017674951918677
47,Faridkot,jeto,Bajakhana,175375.0,Sub Yard,17537.5,27.0,24.85185185185185,14.795279142357705
48,Faridkot,Sadik,Golekhana,87750.0,Sub Yard,8775.0,29.0,22.103448275862068,11.586151917533176
49,Faridkot,Sadik,Jandsahib,185625.0,Sub Yard,18562.5,29.0,42.3448275862069,22.049094348212005
50,Ferozpur,Ferozpur Sehar,Arfke,101250.0,Sub Yard,10125.0,20.0,26.85,11.221572269986337
51,Ferozpur,Ferozpur cantt,Sande hasam,42750.0,Sub Yard,4275.0,24.0,16.75,4.42571536836014
52,Ferozpur,Ferozpur cantt,Jhok harihar,226125.0,Sub Yard,22612.5,26.0,38.30769230769231,21.632880956117205
53,Ferozpur,Ferozpur cantt,Mana singh wala,101250.0,Sub Yard,10125.0,25.0,16.0,7.905694150420948
54,Ferozpur,Ferozpur cantt,Lohgarh,130500.0,Sub Yard,13050.0,27.0,46.925925925925924,16.73992446891775
55,Ferozpur,Talwandi Bhai,Mudki,79875.0,Sub Yard,7987.5,32.0,29.15625,7.080684197849627
56,Ferozpur,Guru Har Sahai,Jhok mohre,257625.0,Sub Yard,25762.5,25.0,53.48,27.722012913928168
57,Ferozpur,Mamdod,Tibbikhurd,151875.0,Sub Yard,15187.5,23.0,33.56521739130435,15.770588525815798
58,Ferozpur,Malewala,Gogoani -khosa dal singh,214875.0,Sub Yard,21487.5,21.0,31.904761904761905,21.30001117817726
59,Fazilka,Fazilka,Khiowala dhab,213559.0,Sub Yard,21355.9,35.0,67.51428571428572,26.723388553817784
60,Fazilka,Fazilka,Ladhuka,456301.0,Sub Yard,45630.1,31.0,118.12903225806451,56.11223392183671
61,Fazilka,Jalalabad,Ghubaya,143475.0,Sub Yard,14347.5,33.0,45.696969696969695,20.035101772396946
62,Fazilka,Jalalabad,Chuck sadoke,92565.0,Sub Yard,9256.5,35.0,26.714285714285715,12.1958802797633
63,Fazilka,Jalalabad,Ladhuwala uttar,92565.0,Sub Yard,9256.5,31.0,28.806451612903224,11.78535632282342
64,Fazilka,Arniwala,Hojkhas,450000.0,Sub Yard,45000.0,31.0,42.58064516129032,32.741181197943355
65,Fazilka,Arniwala,Kamalwala,108750.0,Sub Yard,10875.0,32.0,34.5625,18.203043878747668
66,Fazilka,Arniwala,Dabbwal kalan,161988.0,Sub Yard,16198.8,33.0,39.696969696969695,21.568908248455767
67,Fazilka,Arniwala,Mandi rorawali,129046.0,Sub Yard,12904.6,37.0,29.64864864864865,17.006887846817662
68,Fatehgarh Sahib,Sirhind,Brass,94500.0,Sub Yard,9450.0,28.0,42.67857142857143,20.99568486781946
69,Fatehgarh Sahib,Amloh,Samaspur,91125.0,Sub Yard,9112.5,19.0,24.0,8.137703743822469
70,Fatehgarh Sahib,Amloh,Mandi gobindgarh,205875.0,Sub Yard,20587.5,21.0,54.57142857142857,19.425682558333513
71,Fatehgarh Sahib, Bassi Pathana,Nandpur kalor,101250.0,Sub Yard,10125.0,28.0,15.035714285714286,13.231506011136878
72,Fatehgarh Sahib,Khamano,Sanghol,354375.0,Sub Yard,35437.5,30.0,57.166666666666664,36.65786205679094
73,Fatehgarh Sahib,Khamano,Nanowal,102375.0,Sub Yard,10237.5,36.0,29.555555555555557,13.089678473502799
74,Fatehgarh Sahib,Khamano,Barwali,81000.0,Sub Yard,8100.0,29.0,16.862068965517242,8.74938421478512
